区域,小区名称,户型,面积(㎡),朝向,价格(元/月)
光明区-光明,正兆景嘉园,3室2厅1卫,89.00,东南,3810
龙岗区-龙岗中心城,东方明珠城,3室2厅2卫,93.50,西南,3300
,未知小区,1室0厅1卫,35.00,2间在租,4825-4928
光明区-公明,奥园和平广场,2室1厅1卫,53.00,东南,2100
,未知小区,1室0厅1卫,25.00,2间在租,2860-2915
龙华区-红山,龙光玖钻,4室2厅2卫,132.00,南,10000
宝安区-西乡,招商果岭花园,4室2厅2卫,124.00,东南 西南,7300
,未知小区,2室1厅1卫,40.00,1间在租,4290
龙岗区-龙岗宝荷,碧桂园观麓花园,1室0厅1卫,29.67,南,1600
,未知小区,1室0厅1卫,30.00,1间在租,3190
宝安区-新安,灵芝新村,2室1厅1卫,65.00,东南,4200
南山区-南头,金宝花园,4室2厅1卫,95.05,东 东南 南,6000
,未知小区,1室0厅1卫,25.00,1间在租,1180
龙岗区-坂田,万科金色半山,3室2厅1卫,143.00,南,9000
,未知小区,1室0厅1卫,30.00,1间在租,1280
南山区-西丽,中爱花园,3室2厅2卫,113.00,南,8500
,未知小区,1室0厅1卫,25.00,2间在租,1469
坪山区-坪山,恒大成一期,5室2厅2卫,155.92,东北,5200
,未知小区,1室0厅1卫,25.00,2间在租,2220-2500
龙岗区-龙岗中心城,万科时代广场,3室2厅2卫,64.00,东北,4400
,未知小区,1室1厅1卫,41.80,1间在租,2800
龙岗区-龙岗中心城,吉祥里,3室2厅1卫,80.03,东南,4100
,未知小区,1室0厅1卫,35.00,1间在租,3500
宝安区-翻身,富源商贸中心,3室2厅2卫,113.19,东南,8500
,未知小区,1室0厅1卫,19.00,1间在租,1110
,未知小区,2室1厅1卫,60.00,1间在租,5300
,未知小区,1室1厅1卫,41.80-42.00,2间在租,2800-3000
,未知小区,1室0厅1卫,39.00,1间在租,1980
,未知小区,2室1厅1卫,78.00,1间在租,3380
,未知小区,1室0厅1卫,30.00,1间在租,1350
龙岗区-布吉南岭,万科公园里三期,3室2厅2卫,106.00,西北,5100
龙岗区-大运新城,世茂深港国际中心,1室1厅1卫,43.04,南,2800
,未知小区,1室0厅1卫,39.00,1间在租,1980
坪山区-坪山,奥园翡翠东湾,3室2厅1卫,77.11,南,2700
,未知小区,2室1厅1卫,78.00,1间在租,3380
光明区-光明,金地峰境誉府,3室2厅2卫,98.00,东南,4500
龙岗区-龙岗中心城,吉祥里,3室2厅1卫,79.00,南,4200
,未知小区,1室0厅1卫,30.00,1间在租,1350
南山区-大学城,京基御景峯,3室2厅2卫,116.00,西南,9600
,未知小区,1室0厅1卫,19.00,1间在租,2500
罗湖区-银湖,鸿颖大厦,3室2厅1卫,84.88,西南,7700
龙岗区-布吉街,吉信大厦,3室2厅2卫,110.00,南,5200
,未知小区,2室1厅1卫,78.00,1间在租,3580
龙岗区-龙岗中心城,吉祥来花园,4室2厅1卫,106.00,东南,3800
,未知小区,2室1厅1卫,78.00,1间在租,3680
福田区-福田中心,岗厦城,3室1厅1卫,90.00,东,13000
,未知小区,1室0厅1卫,15.00,1间在租,2387
龙岗区-坪地,今日香沙御景园,1室0厅1卫,29.20,南,1500
,未知小区,1室0厅1卫,30.00,1间在租,2650
南山区-南头,福临苑,1室1厅1卫,42.00,东南,5800
,未知小区,1室0厅1卫,10.00,1间在租,1000
南山区-南山中心,龙城新苑,3室1厅3卫,30.00,南,3780
,未知小区,1室0厅1卫,15.00,1间在租,1160
光明区-公明,宏发雍景城,5室2厅2卫,171.90,南 北,9000
,未知小区,1室0厅1卫,15.00,1间在租,1646
,未知小区,1室0厅1卫,16.00,1间在租,1550
,未知小区,1室0厅1卫,20.00,1间在租,1280
,未知小区,1室0厅1卫,16.00,1间在租,1325
,未知小区,1室0厅1卫,17.57,2间在租,1499-1588
,未知小区,1室0厅1卫,25.00,2间在租,1280-1299
罗湖区-翠竹,鹏公馆,1室1厅1卫,41.00,南,4200
宝安区-航城,中信领航,1室1厅1卫,38.00,西北,3200
宝安区-福永,会展湾水岸,1室0厅1卫,34.00,东,2100
宝安区-福永,会展湾水岸,1室0厅1卫,33.48,东,2200
福田区-梅林,绿景虹湾,2室1厅1卫,52.54,北,7300
南山区-后海,天海花园,3室2厅1卫,92.00,南,8600
南山区-蛇口,半岛城邦花园三期,5室2厅2卫,164.00,南,29000
盐田区-沙头角,鹏瑞尚府,1室1厅1卫,47.00,南,3360
盐田区-沙头角,鹏瑞尚府,1室0厅1卫,51.00,西南,3800
龙岗区-龙岗中心城,金地名郡园,3室2厅2卫,89.00,东南,4000
光明区-光明,汇银绿城桂语兰庭,3室2厅2卫,89.00,东南,5000
龙岗区-龙岗中心城,阅山华府,3室2厅2卫,87.99,东南,3500
龙岗区-龙岗宝荷,京基御景荟都,1室1厅1卫,35.00,南,1800
龙岗区-龙岗中心城,同创九著院,4室2厅2卫,89.00,南,4600
龙华区-龙华新区,金地梅陇镇三期,3室2厅2卫,108.00,南 北,5800
福田区-石厦,宏轩大厦,2室2厅1卫,60.18,南,6980
龙岗区-布吉街,钧濠·MIX Park,1室1厅1卫,29.26,东南,2700
罗湖区-地王,日豪名园,2室1厅1卫,71.59,东,5200
龙岗区-龙岗中心城,名居广场,1室1厅1卫,46.15,东南,2900
光明区-公明,福盈中央山,3室1厅1卫,67.00,西,3600
盐田区-沙头角,鹏瑞尚府,1室1厅1卫,39.00,南,3360
龙岗区-坂田,中浩吉祥花园,2室2厅1卫,72.82,西北,3600
